conv_id,turn,speaker,prev_sentiment,curr_sentiment,prev_text,curr_text,shift_type
0,2,Rohan,neutral,positive,"Hey Rohan, main bilkul thik hun. Tu bata, kaisa hai?","I'm good too, yaar. Tumne suna ki next week school wali trip hai?",neutral → positive
0,3,Radhika,positive,neutral,"I'm good too, yaar. Tumne suna ki next week school wali trip hai?","Haan, mujhe toh pata chal gaya hai. Itna excited hun mai! Tu bhi aa raha hai na?",positive → neutral
0,6,Rohan,neutral,positive,"Humare college ne Goa ka plan banaya hai. Wahin par enjoy karne wale hai, khub saare beaches aur parties.","Wow, Goa is the best! Mere friends ne bhi wahi trip ki hai. Wahan ke beaches aur night life legendary hai, aur I can't wait to experience it with you.",neutral → positive
0,8,Rohan,positive,neutral,"Awww, that's so sweet of you, Rohan. Hum jarur masti karenge. Tere friends ke sath bhi aayenge?","Haan, mere do close friends aur unke girlfriends bhi aa rahe hai. Par woh toh sirf dost hai, main toh tumhare sath hi time spend karna chahta hun.",positive → neutral
0,11,Radhika,neutral,positive,Hum bachpan se hi friends hai. Saath me school bhi kiya hai aur har choti badi baat share karte hai. Ek saath trip par jana dream come true hai!,"Uff, Rohan, tum toh bohot cute ho. We are going to have an amazing time together, I can sense it already.",neutral → positive
0,12,Rohan,positive,neutral,"Uff, Rohan, tum toh bohot cute ho. We are going to have an amazing time together, I can sense it already.","Haan, Radhika. Aur tere dosti ka bhi ek story sunao na. Kuch interesting hai?",positive → neutral
0,20,Rohan,neutral,positive,"Deal, Rohan! Waise, mujhe tere romantic side pe bharosa nahi tha. Suprise hua, mujhe pasand aaya.","Vo toh bas shuruat hai, Radhika. I can't wait to create more memories with you on this trip. Tu jaanti hai, hume best jodi wala award bhi milega.",neutral → positive
10,11,Priya,neutral,positive,"Haan, bilkul! Aur tumhare creative skills se project presentation bhi outstanding ban jayegi.","Thank you, Rahul! Tum bhi kaafi talented ho. Hum saath mein success jaroor paayenge.",neutral → positive
10,12,Rahul,positive,neutral,"Thank you, Rahul! Tum bhi kaafi talented ho. Hum saath mein success jaroor paayenge.",Tumhari tarif sunke mujhe khushi ho rahi hai. Tumhare saath kaam karke mera confidence boost ho raha hai.,positive → neutral
10,13,Priya,neutral,positive,Tumhari tarif sunke mujhe khushi ho rahi hai. Tumhare saath kaam karke mera confidence boost ho raha hai.,"Achcha, Rahul! Tum ek sweet person ho. Hamesha positive vibes dete ho, mujhe bhi confidence milta hai.",neutral → positive
10,14,Rahul,positive,neutral,"Achcha, Rahul! Tum ek sweet person ho. Hamesha positive vibes dete ho, mujhe bhi confidence milta hai.","Tumhare saath kaam karke mujhe bhi positivity milti hai, Priya. Baat karte karte mujhe lag raha hai ki hum dono ka connection aur strong ho raha hai.",positive → neutral
10,18,Rahul,neutral,positive,"Rahul, tumhara confidence mere dil ko chhu gaya! Haan, main tumhare saath date pe chalungi.","Sach? Wow, yeh meri lucky day hai. Main tumhare saath ek special evening spend karna chahta hoon.",neutral → positive
