conv_id,turn,speaker,text,clean_text,sentiment,sentiment_score
0,0,Rohan,Hey Radhika! Kaisi ho?,hey radhika kaisi ho,neutral,0.903
0,1,Radhika,"Hey Rohan, main bilkul thik hun. Tu bata, kaisa hai?",hey rohan main bilkul thik hun tu bata kaisa hai,neutral,0.84
0,2,Rohan,"I'm good too, yaar. Tumne suna ki next week school wali trip hai?",im good too yaar tumne suna ki next week school wali trip hai,positive,0.782
0,3,Radhika,"Haan, mujhe toh pata chal gaya hai. Itna excited hun mai! Tu bhi aa raha hai na?",haan mujhe toh pata chal gaya hai itna excited hun mai tu bhi aa raha hai na,neutral,0.759
0,4,Rohan,"Bilkul, Radhika. Ek trip miss karunga toh behad boring ho jayega. Hum kaha ja rahe hai?",bilkul radhika ek trip miss karunga toh behad boring ho jayega hum kaha ja rahe hai,neutral,0.499
0,5,Radhika,"Humare college ne Goa ka plan banaya hai. Wahin par enjoy karne wale hai, khub saare beaches aur parties.",humare college ne goa ka plan banaya hai wahin par enjoy karne wale hai khub saare beaches aur parties,neutral,0.798
0,6,Rohan,"Wow, Goa is the best! Mere friends ne bhi wahi trip ki hai. Wahan ke beaches aur night life legendary hai, aur I can't wait to experience it with you.",wow goa is the best mere friends ne bhi wahi trip ki hai wahan ke beaches aur night life legendary hai aur i cant wait to experience it with you,positive,0.986
0,7,Radhika,"Awww, that's so sweet of you, Rohan. Hum jarur masti karenge. Tere friends ke sath bhi aayenge?",awww thats so sweet of you rohan hum jarur masti karenge tere friends ke sath bhi aayenge,positive,0.937
0,8,Rohan,"Haan, mere do close friends aur unke girlfriends bhi aa rahe hai. Par woh toh sirf dost hai, main toh tumhare sath hi time spend karna chahta hun.",haan mere do close friends aur unke girlfriends bhi aa rahe hai par woh toh sirf dost hai main toh tumhare sath hi time spend karna chahta hun,neutral,0.835
0,9,Radhika,"Waise, tu aur teri dosti ki kahani sunao na. Kabse friends ho?",waise tu aur teri dosti ki kahani sunao na kabse friends ho,neutral,0.859
0,10,Rohan,Hum bachpan se hi friends hai. Saath me school bhi kiya hai aur har choti badi baat share karte hai. Ek saath trip par jana dream come true hai!,hum bachpan se hi friends hai saath me school bhi kiya hai aur har choti badi baat share karte hai ek saath trip par jana dream come true hai,neutral,0.68
0,11,Radhika,"Uff, Rohan, tum toh bohot cute ho. We are going to have an amazing time together, I can sense it already.",uff rohan tum toh bohot cute ho we are going to have an amazing time together i can sense it already,positive,0.981
0,12,Rohan,"Haan, Radhika. Aur tere dosti ka bhi ek story sunao na. Kuch interesting hai?",haan radhika aur tere dosti ka bhi ek story sunao na kuch interesting hai,neutral,0.883
0,13,Radhika,"Haha, meri life ka sabse interesting moment tha jab maine dance competition jeeta. Wahan par ek stranger mujhe motivate kiya tha, aur uss din se hamari dosti shuru ho gayi.",haha meri life ka sabse interesting moment tha jab maine dance competition jeeta wahan par ek stranger mujhe motivate kiya tha aur uss din se hamari dosti shuru ho gayi,neutral,0.605
0,14,Rohan,Wah! Dance competition jeetna koi aam baat nahi hai. Aur uss stranger ko ab tak yaad hai?,wah dance competition jeetna koi aam baat nahi hai aur uss stranger ko ab tak yaad hai,neutral,0.752
0,15,Radhika,"Haan, yaar. Uske sath ab tak touch me rehte hai. Next competition ke liye bhi prepare kar rahe hai. Uss din tera support chahiye hoga.",haan yaar uske sath ab tak touch me rehte hai next competition ke liye bhi prepare kar rahe hai uss din tera support chahiye hoga,neutral,0.793
0,16,Rohan,"Bilkul, Radhika. Tere liye main hamesha ready hun. Aur teri dance ki practice hum trip pe bhi kar sakte hai.",bilkul radhika tere liye main hamesha ready hun aur teri dance ki practice hum trip pe bhi kar sakte hai,neutral,0.888
0,17,Radhika,"Sach? Tu toh best dost nikla, Rohan. Agar teri wajah se main trophy jeeti toh hum dono celebrate karenge.",sach tu toh best dost nikla rohan agar teri wajah se main trophy jeeti toh hum dono celebrate karenge,neutral,0.654
0,18,Rohan,"Haan, bilkul celebrate karenge. Aur agar tu trophy jeeti toh, mujhe ek romantic dance date par le jaogi, deal?",haan bilkul celebrate karenge aur agar tu trophy jeeti toh mujhe ek romantic dance date par le jaogi deal,neutral,0.851
0,19,Radhika,"Deal, Rohan! Waise, mujhe tere romantic side pe bharosa nahi tha. Suprise hua, mujhe pasand aaya.",deal rohan waise mujhe tere romantic side pe bharosa nahi tha suprise hua mujhe pasand aaya,neutral,0.863
0,20,Rohan,"Vo toh bas shuruat hai, Radhika. I can't wait to create more memories with you on this trip. Tu jaanti hai, hume best jodi wala award bhi milega.",vo toh bas shuruat hai radhika i cant wait to create more memories with you on this trip tu jaanti hai hume best jodi wala award bhi milega,positive,0.981
0,21,Radhika,"Aww, tu bhi na. Hum sach me best jodi hai. I'm so lucky to have you, Rohan.",aww tu bhi na hum sach me best jodi hai im so lucky to have you rohan,positive,0.982
0,22,Rohan,"I'm the lucky one, Radhika. Chal, ab trip ka wait karna band karte hai aur humari romantic moments ki planning karte hai.",im the lucky one radhika chal ab trip ka wait karna band karte hai aur humari romantic moments ki planning karte hai,positive,0.76
10,0,Rahul,"Hey Priya, kaise ho? School project ke baare mein baat karni thi.",hey priya kaise ho school project ke baare mein baat karni thi,neutral,0.837
10,1,Priya,"Hey Rahul! Main theek hu, tum kaise ho? Haan, project kaafi important hai. Kya discuss karna chahte ho?",hey rahul main theek hu tum kaise ho haan project kaafi important hai kya discuss karna chahte ho,neutral,0.819
10,2,Rahul,Mujhe laga ki hum dono ek saath work kar sakte hai. Kya kehti ho?,mujhe laga ki hum dono ek saath work kar sakte hai kya kehti ho,neutral,0.797
10,3,Priya,"Hmmm, mujhe bhi wohi idea tha. Lekin humein kya topic choose karna chahiye?",hmmm mujhe bhi wohi idea tha lekin humein kya topic choose karna chahiye,neutral,0.863
